id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
449,572399944952225792,1209557634,0,0,0,0,0,0,0,0,136,20,0,0,1,0,54.84,903,1,69,151,388270,60,738,0,1,0,0,526.11,903.00,0.00,19,1,0.4367
450,572399905290895363,6238052,0,0,0,0,0,0,0,0,136,20,2,0,1,0,47.31,4167,466,128,36,35894,94,2841,1,0,0,0,12.63,8.94,0.11,6,1,0.3354
455,572399939738714112,2231478996,0,0,0,0,0,0,0,0,136,21,0,0,1,0,44.35,134,114,2,117,116989,103,452,1,1,0,0,258.83,1.18,0.85,6,1,0.3354
456,572399946948689921,1209557634,0,0,0,0,0,0,0,0,136,20,0,0,1,0,54.84,903,1,69,151,388271,60,738,0,1,0,0,526.11,903.00,0.00,19,1,0.4367
460,572399940548210689,2231478996,0,0,0,0,0,0,0,0,136,18,0,0,1,0,44.35,134,114,2,117,116990,103,452,1,1,0,0,258.83,1.18,0.85,6,1,0.3354
470,572399969233027072,1244573222,0,0,0,0,0,0,0,0,88,9,1,0,1,0,42.30,2194,39,14,9,80923,152,727,0,0,0,0,111.31,56.26,0.02,8,1,0.3987
483,572399980536700930,1244573222,0,0,0,0,0,0,0,0,90,10,1,0,1,0,42.30,2194,39,14,9,80925,152,727,0,0,0,0,111.31,56.26,0.02,8,1,0.3987
484,572399980448751616,2612347940,0,0,0,0,0,0,0,0,69,8,3,0,1,0,55.69,1541,1,23,13,69769,158,237,0,1,0,0,294.38,1541.00,0.00,14,1,0.4810
485,572399980712882177,14627798,0,0,0,0,0,0,0,0,80,11,0,0,1,0,47.99,4006,4326,38,0,109781,66,2495,1,0,0,0,44.00,0.93,1.08,9,1,0.5063
496,572399994419859456,500977973,0,0,0,0,0,0,0,0,136,19,0,0,1,0,49.60,1118,1603,10,47,40814,26,1103,0,0,0,0,37.00,0.70,1.43,11,1,0.5000
498,572400100531703808,3044854053,0,0,0,0,0,0,0,0,131,15,0,0,2,0,23.09,0,1,0,0,3467,0,11,1,1,0,0,315.18,0.00,1.00,15,1,0.5316
501,572399989051158529,1244573222,0,0,0,0,0,0,0,0,103,15,1,0,1,0,42.30,2194,39,14,9,80926,152,727,0,0,0,0,111.31,56.26,0.02,8,1,0.3987
502,572399988606545921,344688848,0,0,0,0,0,0,0,0,90,8,0,0,1,0,45.70,2283,0,64,0,149226,160,1312,1,0,0,0,113.74,2283.00,0.00,15,1,0.5316
503,572400006566703104,52024106,0,0,0,0,0,0,1,0,137,8,0,0,1,1,52.17,3596,3972,253,53166,263662,73,2072,1,0,0,0,127.25,0.91,1.10,14,1,0.4810
505,572400002590371840,344688848,0,0,0,0,0,0,0,0,131,16,0,0,1,0,45.70,2283,0,64,0,149230,160,1312,1,0,0,0,113.74,2283.00,0.00,15,1,0.5316
506,572399995187425280,500977973,0,0,0,0,0,0,0,0,136,20,0,0,1,0,49.60,1118,1603,10,47,40815,26,1103,0,0,0,0,37.00,0.70,1.43,11,1,0.5000
507,572399998718984192,2587861915,0,0,0,0,0,0,0,0,81,10,3,0,1,0,45.67,245,39,13,0,66017,137,250,1,0,0,0,264.07,6.28,0.16,22,1,0.3544
511,572400015072620545,28708336,0,0,0,0,1,0,0,1,109,14,5,0,1,0,30.26,449,311,6,0,580,127,2159,1,0,0,0,0.27,1.44,0.69,9,1,0.5063
512,572400012002508800,198586013,0,0,0,0,0,0,0,0,94,13,1,0,1,0,56.14,655,1509,34,0,108908,13,1610,1,0,0,0,67.64,0.43,2.30,9,1,0.5063
513,572400018683924481,344688848,0,0,0,0,0,0,0,0,77,10,0,0,1,0,45.70,2283,0,64,0,149235,160,1312,1,0,0,0,113.75,2283.00,0.00,15,1,0.5316
515,572400019187212288,540738723,0,0,0,0,0,0,0,0,73,10,0,0,1,0,42.25,2766,2389,244,0,112518,89,1067,0,0,0,0,105.45,1.16,0.86,16,1,0.4494
519,572400012052721664,344688848,0,0,0,0,0,0,0,0,83,9,0,0,1,0,45.70,2283,0,64,0,149233,160,1312,1,0,0,0,113.74,2283.00,0.00,15,1,0.5316
520,572400021020127233,549706307,0,0,0,0,0,0,0,0,108,15,2,0,1,0,51.45,1309,641,40,0,92403,62,1057,1,0,0,0,87.42,2.04,0.49,10,1,0.4810
525,572400024094547968,549706307,0,0,0,0,0,0,0,0,129,16,2,0,1,0,51.45,1309,641,40,0,92404,62,1057,1,0,0,0,87.42,2.04,0.49,10,1,0.4810
532,572400028515377152,1418807532,0,0,0,0,0,0,0,0,83,12,1,0,1,0,57.33,1601,16,103,1,840848,35,661,1,0,0,0,1272.08,100.06,0.01,9,1,0.5063
533,572399973607743488,342663615,0,0,0,0,0,0,0,0,72,8,1,0,1,0,42.90,2796,294,104,0,188544,151,1315,1,0,0,0,143.38,9.51,0.11,15,1,0.5316
537,572400005786415106,344688848,0,0,0,0,0,0,0,0,119,15,0,0,1,0,45.70,2283,0,64,0,149231,160,1312,1,0,0,0,113.74,2283.00,0.00,15,1,0.5316
538,572400040968208385,2362308738,0,0,0,0,0,0,0,0,83,8,0,0,1,0,48.89,1734,2001,34,0,103924,53,369,0,1,0,0,281.64,0.87,1.15,21,1,0.4937
542,572400014720311298,64672185,0,0,0,0,0,0,0,0,136,16,1,0,1,0,46.06,2351,1,53,0,173788,42,2029,1,0,0,0,85.65,2351.00,0.00,19,1,0.4367
545,572400041207439360,338410908,0,0,0,0,0,0,0,0,83,12,0,0,1,0,54.78,10942,5303,82,203,161154,39,1322,1,0,0,0,121.90,2.06,0.48,9,1,0.5063
547,572400048899821568,41894091,0,0,0,0,0,0,0,0,137,15,0,0,1,0,39.22,1705,1908,36,10,69041,154,2110,1,0,0,0,32.72,0.89,1.12,6,1,0.3354
549,572400053500817409,2782768958,0,0,0,0,0,0,0,0,136,20,1,0,1,0,49.97,906,22,9,0,62452,64,183,0,1,0,0,341.27,41.18,0.02,14,1,0.4810
550,572400050585935872,41894091,0,0,0,0,0,0,0,0,137,21,0,0,1,0,39.22,1705,1908,36,10,69044,154,2110,1,0,0,0,32.72,0.89,1.12,6,1,0.3354
552,572400052758429696,2782768958,0,0,0,0,0,0,0,0,136,23,1,0,1,0,49.97,906,22,9,0,62451,64,183,0,1,0,0,341.26,41.18,0.02,14,1,0.4810
556,572400060362711041,2459920208,0,0,0,0,0,0,0,0,136,20,0,0,1,0,54.53,1297,4,92,0,269032,26,313,0,0,0,0,859.53,324.25,0.00,16,1,0.4494
557,572400051961528320,2782768958,0,0,0,0,0,0,0,0,136,21,1,0,1,0,49.97,906,22,9,0,62450,64,183,0,1,0,0,341.26,41.18,0.02,14,1,0.4810
559,572400057233756160,1548265345,0,0,0,0,0,0,0,0,73,11,0,0,1,0,36.12,125,0,23,0,61325,85,614,1,1,0,0,99.88,125.00,0.00,15,1,0.5316
562,572400064477282305,2321504575,0,0,0,0,0,0,0,0,135,15,2,0,1,0,44.82,3847,707,7,13,91814,46,395,0,0,1,0,232.44,5.44,0.18,10,1,0.4810
564,572400064984821762,549706307,0,0,0,0,0,0,0,0,106,14,2,0,1,0,51.45,1309,641,40,0,92411,62,1057,1,0,0,0,87.43,2.04,0.49,10,1,0.4810
566,572400023490580480,570920587,0,0,0,0,0,0,0,0,136,13,2,0,1,0,39.73,7616,245,316,0,103310,86,1032,0,0,0,0,100.11,31.09,0.03,16,1,0.4494
567,572400065114873856,2321504575,0,0,0,0,0,0,0,0,124,16,2,0,1,0,44.82,3847,707,7,13,91815,46,395,0,0,1,0,232.44,5.44,0.18,10,1,0.4810
569,572400078121377793,1664939335,0,0,0,0,0,0,0,0,136,22,1,0,1,0,56.21,1401,560,83,22,623923,129,567,1,0,0,0,1100.39,2.50,0.40,8,1,0.3987
571,572400078867972097,1664939335,0,0,0,0,0,0,0,0,136,15,1,0,1,0,56.21,1401,560,83,22,623924,129,567,1,0,0,0,1100.40,2.50,0.40,8,1,0.3987
573,572400090234679296,2932900714,0,0,0,0,0,0,0,0,129,17,2,0,1,0,49.86,1427,883,14,0,5610,0,73,0,1,0,0,76.85,1.62,0.62,11,1,0.5000
589,572400116386013186,427221996,0,0,0,0,0,0,0,0,99,13,5,0,1,0,38.49,746,4,52,0,83031,56,1185,1,0,0,0,70.07,186.50,0.01,6,1,0.3354
590,572400115752681472,427221996,0,0,0,0,0,0,0,0,99,13,5,0,1,0,38.49,746,4,52,0,83030,56,1185,1,0,0,0,70.07,186.50,0.01,6,1,0.3354
594,572400128843108352,52665836,0,0,0,0,0,0,0,0,135,23,0,0,1,0,49.25,251,0,31,2,199708,19,2070,1,0,0,0,96.48,251.00,0.00,8,1,0.3987
596,572400131821060096,2252314255,0,0,0,0,1,0,0,1,129,16,4,0,1,0,45.32,261,0,33,0,1828,118,439,1,0,0,0,4.16,261.00,0.00,9,1,0.5063
597,572400106508431361,1418807532,0,0,0,0,0,0,0,0,80,8,1,0,1,0,57.33,1601,16,103,1,840855,35,661,1,0,0,0,1272.10,100.06,0.01,9,1,0.5063
598,572400128918757376,2558662296,0,0,0,0,0,0,1,0,136,17,3,0,1,1,45.33,284,9,17,0,50662,158,265,1,0,0,0,191.18,31.56,0.03,14,1,0.4810
601,572400137416265731,519882147,0,0,0,0,0,0,0,0,136,22,0,0,1,0,46.00,868,1386,3,77,10887,50,1088,0,1,0,0,10.01,0.63,1.60,7,1,0.3354
603,572400257327218689,1634763686,0,0,0,0,0,0,0,0,112,14,0,0,2,0,54.46,38623,888,39,0,38292,77,579,1,0,0,0,66.13,43.49,0.02,15,1,0.5316
607,572400115069026304,427221996,0,0,0,0,0,0,0,0,89,12,5,0,1,0,38.49,746,4,52,0,83029,56,1185,1,0,0,0,70.07,186.50,0.01,6,1,0.3354
