id,twitterIdStr,userIdStr,retweetsCount,favoritesCount,clicksCount,viralImpactsCount,messageHasLocation,messageIsDirect,messageHasMedia,messageIsSensitive,messageTextLength,messageWordsCount,messageHashtagsCount,messageMentionsCount,messageUrlsCount,messageMediaCount,userKloutScore,userFollowersCount,userFriendsCount,userListedCount,userFavoritesCount,userStatusesCount,userDescriptionLength,userAccountAge,userHasLocation,userDefaultProfile,userDefaultProfileImage,userVerified,userTweetsPerDay,userFollowFriendRatio,userFriendFollowRatio,postHourOfDay,postDayOfWeek,postActivity
1913,572400762300440577,109100886,0,0,1,0,0,0,0,0,86,9,0,0,1,0,47.55,5683,2165,79,92,67634,131,1860,1,0,0,0,36.36,2.62,0.38,7,1,0.3354
1916,572400769288290304,363959933,0,0,6,0,0,0,0,0,83,10,1,0,1,0,43.19,22676,7461,90,233,140156,84,1282,1,0,0,0,109.33,3.04,0.33,9,1,0.5063
1919,572400783024644096,2296737168,0,0,5,0,0,0,1,0,115,14,0,0,1,1,63.31,294936,186,260,1,40618,97,409,1,0,0,1,99.31,1585.68,0.00,8,1,0.3987
1924,572400792130334721,272475170,0,0,1,0,0,0,0,0,89,10,1,0,1,0,43.71,4863,40,79,0,118200,42,1437,1,0,0,0,82.25,121.58,0.01,11,1,0.5000
1925,572400799029968896,157158189,0,0,1,0,0,0,0,0,83,11,0,0,1,0,46.22,1238,2001,9,145,31481,158,1718,1,0,0,0,18.32,0.62,1.62,9,1,0.5063
1926,572400796005888000,72928001,0,0,5,0,0,0,0,0,140,16,0,0,1,0,45.52,14172,3044,674,22,145409,130,2000,1,0,0,0,72.70,4.66,0.21,8,1,0.3987
1928,572400799071879169,1528101612,0,0,1,0,0,0,0,0,136,20,1,0,1,0,52.79,1918,1406,32,629,220170,32,622,1,0,0,0,353.97,1.36,0.73,8,1,0.3987
1929,572400803459178496,613465688,0,0,2,0,0,0,0,0,136,17,3,0,1,0,47.36,839,824,14,1,32218,103,985,1,1,0,0,32.71,1.02,0.98,16,1,0.4494
1931,572400812049080320,1527196603,0,0,1,0,0,0,0,0,136,17,0,0,1,0,49.63,4414,274,17,118,18889,54,622,1,0,0,0,30.37,16.11,0.06,22,1,0.3544
1933,572400815081582592,84392168,0,0,1,0,0,0,0,0,136,20,0,0,1,0,48.05,5444,3,90,0,18896,0,1957,1,0,0,0,9.66,1814.67,0.00,11,1,0.5000
